Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2017-11-22T10:49:13,2017-11-22T10:50:56,2017-11-22T10:50:11,4.45,4.33,8.47,8.0,0.56,0.12,0.49,288.0,0.0,0.0,0.00879,7.57e-05,1.17e-07,5.32e-07,0.0108,0.000972,1.62e-09,1.81e-06,1.54e-05,3e-08,2.85e-10,9.31e-10,1.25e-05,3.01e-06,1.6e-10,2.09e-09
2017-11-22T13:22:23,2017-11-22T13:23:51,2017-11-22T13:23:08,6.39,6.45,10.68,10.55,0.24,-0.05,0.13,295.0,0.0,134.0,17.2,0.0987,4.82e-05,0.00103,1.19,0.0858,3.6e-06,0.000164,0.023,0.000123,6.94e-08,1.37e-06,0.000852,7.51e-05,8.99e-10,1.18e-07
2017-11-24T00:21:33,2017-11-24T00:22:46,2017-11-24T00:22:04,5.55,5.68,9.54,9.09,0.65,-0.14,0.4,221.0,0.0,31.0,0.0438,0.00111,6.57e-08,3.81e-06,0.0231,0.000753,1.39e-08,4.68e-06,6.67e-06,6.36e-08,2.55e-10,5.8e-10,2e-05,3.98e-06,1.76e-10,4.06e-09
2017-11-28T11:55:13,2017-11-28T11:56:41,2017-11-28T11:56:07,6.15,6.24,10.05,9.75,0.49,-0.09,0.3,439.0,0.0,261.0,1.93,0.0384,2.88e-06,0.000115,0.082,0.00667,2.35e-08,1.14e-05,0.00564,0.000203,1.06e-08,3.36e-07,0.000239,1.72e-05,1.79e-10,3.31e-08
2017-11-28T15:04:52,2017-11-28T15:04:57,2017-11-28T15:04:55,5.08,6.4,12.3,11.37,1.93,-1.32,0.94,476.0,0.0,23.0,0.295,0.00685,2.63e-06,1.76e-05,0.0127,0.00178,3.36e-09,1.77e-06,0.000918,1.26e-05,7.93e-09,5.47e-08,2.72e-05,3.27e-06,1.65e-10,3.79e-09
2017-12-04T12:02:03,2017-12-04T12:03:26,2017-12-04T12:03:03,6.26,6.38,10.44,9.79,1.08,-0.11,0.65,426.0,0.0,51.0,0.226,0.00166,2.35e-07,1.35e-05,0.0303,0.00119,2.92e-07,4.19e-06,0.00601,3.96e-05,7.57e-10,3.58e-07,0.000194,8.68e-06,2.14e-10,2.69e-08
2017-12-04T21:37:50,2017-12-04T21:39:28,2017-12-04T21:38:58,5.79,5.9,10.24,10.01,0.37,-0.1,0.23,368.0,0.0,3.0,0.958,0.013,5.05e-07,5.71e-05,1.23,0.0521,1.06e-05,0.00017,0.000955,2.68e-05,5.95e-10,5.69e-08,0.000902,1.02e-05,6.53e-09,1.25e-07
2017-12-05T16:31:37,2017-12-05T16:33:46,2017-12-05T16:33:17,5.7,5.65,11.29,11.35,0.1,0.06,0.06,392.0,0.0,75.0,2.34,0.114,1.88e-05,0.000139,0.41,0.03,2.36e-06,5.68e-05,0.00232,0.000185,2.42e-08,1.38e-07,0.000345,3.07e-05,7.88e-10,4.77e-08
2017-12-05T22:59:37,2017-12-05T23:00:57,2017-12-05T23:00:47,5.64,5.56,9.14,9.51,0.54,0.08,0.37,476.0,0.0,47.0,0.268,0.0245,2.29e-07,1.6e-05,0.213,0.0048,3.49e-07,2.95e-05,0.000661,6.33e-05,7.53e-10,3.94e-08,0.000429,6.66e-06,3.4e-10,5.94e-08
2017-12-06T07:26:47,2017-12-06T07:27:56,2017-12-06T07:27:51,5.52,5.32,9.38,8.65,1.05,0.2,0.73,396.0,0.0,3.0,0.216,0.000937,2.46e-06,1.29e-05,0.0253,0.00248,5.34e-09,3.51e-06,0.00105,3.01e-06,6.72e-09,6.24e-08,1.86e-05,4.8e-07,1.7e-10,2.58e-09
