Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2017-07-09T19:54:08,2017-07-09T19:55:17,2017-07-09T19:54:28,5.16,4.63,16.22,15.6,0.96,0.53,0.65,308.0,7110.0,0.0,0.0636,0.000253,9.72e-07,3.79e-06,3.06e-05,1.27e-05,5.91e-10,4.24e-09,0.00103,6.53e-06,8.55e-09,6.16e-08,8.44e-07,2.6e-07,7.7e-11,1.17e-10
2017-07-11T14:39:18,2017-07-11T14:40:36,2017-07-11T14:40:26,5.75,6.65,13.88,14.23,1.04,-0.89,0.29,210.0,0.0,0.0,0.0147,9.88e-05,2.4e-07,8.78e-07,0.00133,5.14e-05,7.31e-09,1.85e-07,3.61e-05,2.63e-07,5.21e-10,2.15e-09,3.47e-06,1.4e-07,9.14e-11,4.81e-10
2017-07-11T16:14:37,2017-07-11T16:16:22,2017-07-11T16:15:11,5.64,5.06,15.12,14.84,0.71,0.58,0.32,308.0,0.0,0.0,0.02,5.24e-05,1.44e-07,1.2e-06,0.000298,3.53e-05,6.38e-10,4.11e-08,0.000395,1.33e-06,4.57e-10,2.36e-08,1.41e-06,1.4e-07,8.01e-11,1.94e-10
2017-07-12T19:13:18,2017-07-12T19:14:56,2017-07-12T19:13:49,5.73,5.28,15.21,14.93,0.63,0.46,0.28,368.0,0.0,0.0,0.0438,0.000218,1.99e-07,2.61e-06,1.12e-05,1.27e-07,5.8e-10,1.55e-09,0.00109,7.68e-06,5.69e-10,6.51e-08,5.86e-07,1.63e-09,7.98e-11,8.11e-11
2017-07-16T15:02:35,2017-07-16T15:05:24,2017-07-16T15:03:37,4.93,4.82,15.75,15.62,0.22,0.12,0.13,428.0,0.0,0.0,0.0168,6.96e-05,3.18e-08,1.01e-06,3.62e-05,3.93e-07,6.23e-10,5.01e-09,0.000494,2.38e-06,4.57e-10,2.95e-08,7.44e-07,6.35e-09,7.98e-11,1.03e-10
2017-07-21T18:44:28,2017-07-21T18:45:36,2017-07-21T18:45:20,5.64,6.35,13.63,14.0,0.95,-0.71,0.37,428.0,0.0,0.0,0.0767,0.00254,4.7e-07,4.59e-06,0.0145,0.000347,8.76e-09,1.99e-06,0.000335,1.1e-05,1.51e-09,2.01e-08,4.32e-05,1.21e-06,9.45e-11,5.95e-09
2017-11-21T00:51:37,2017-11-21T00:52:22,2017-11-21T00:52:01,5.81,5.91,9.92,8.99,1.44,-0.1,0.93,283.0,0.0,67.0,0.485,0.0152,4.49e-07,3.1e-05,0.0608,0.00217,1.4e-08,9.03e-06,0.00112,0.000166,4.74e-10,7.13e-08,0.000105,2.98e-06,9.94e-11,1.57e-08
2017-11-21T07:42:33,2017-11-21T07:43:41,2017-11-21T07:43:14,5.18,5.23,8.81,8.49,0.44,-0.05,0.32,272.0,0.0,130.0,1.88,0.0452,1.34e-07,0.000112,1.21,0.0661,1.29e-06,0.000167,0.000505,4.8e-05,1.7e-10,3.01e-08,0.00026,7.66e-06,2.62e-10,3.6e-08
2017-11-21T19:46:50,2017-11-21T19:49:09,2017-11-21T19:48:21,5.89,5.63,10.48,10.7,0.4,0.26,0.22,2249.0,0.0,91.0,2.94,0.0703,1.57e-05,0.000175,0.0883,0.00199,7.73e-08,1.22e-05,0.00578,0.000179,8.57e-09,3.44e-07,3.73e-05,3.21e-06,1.18e-10,5.17e-09
2017-11-22T10:36:23,2017-11-22T10:37:41,2017-11-22T10:36:59,5.19,5.0,8.52,8.01,0.7,0.19,0.51,247.0,0.0,0.0,0.0529,0.0038,1.05e-07,3.16e-06,0.02,0.00373,1.49e-09,2.77e-06,0.000104,3.68e-06,4.17e-10,6.18e-09,1.56e-05,2.02e-06,8.14e-11,2.16e-09
